name,lat,lng,rating,user_ratings_total,address,id
DuDu Go寵物友善餐廳_簡餐。甜點。飲料。炸物。毛孩鮮食,24.2571556,120.6694473,4.6,68,"No. 1196-1號, Zhongshan Road, Shengang District",
森林小徑 文心店-火鍋.義式料理.甜點.下午茶,24.1738292,120.6754542,4.5,1109,"No. 131號, Section 4, Wenxin Road, Beitun District",
Cream Family Style Restaurant,24.1743164,120.6881485,4.0,958,"No. 75, Section 2, Lushun Road, Beitun District",
點子牛排,24.2528272,120.7193442,4.0,201,"No. 65號, Xinsheng North Road, Fengyuan District",
Wienerhaus 德奧小館,24.2526585,120.7159172,4.2,274,"No. 65, Yuanfeng Rd, Fengyuan District",
Italian Restaurant,24.2521034,120.7211429,3.0,2,"No. 97號, Zhongzheng Road, Fengyuan District",
新加坡客家美食,24.275324,120.7574991,4.2,623,"No. 1062號, Section 2, Fengshi Road, Fengyuan District",
古堡餐廳,24.34937,120.7785788,3.6,113,"號, Dahu Township",
津宴客家小館,24.2735613,120.7902244,4.5,120,"No. 772-8號, Fengshi Road, Shigang District",
天利食堂 台中豐原店 台中美食 | 日式鍋物 | 平價美食 | 家庭聚餐 | 推薦餐廳,24.2527395,120.7191374,4.3,1037,"No. 57號, Xinsheng North Road, Fengyuan District",
茿映茶飲美食館,24.2246937,120.5764242,4.0,48,"No. 507, Beishi East Road, Shalu District",
晉文樂廚,24.2592893,120.5681959,4.5,226,"No. 3號, Xinghai Road, Qingshui District",
異人館 沙鹿店,24.244642,120.568866,3.9,1273,"No. 463, Guanghua Road, Shalu District",
NU PASTA 清水光復店,24.2709719,120.5755759,4.0,209,"No. 61-1號, Guangfu Street, Qingshui District",
七牛美食坊,24.2169053,120.6624486,4.2,278,"No. 65號, Renhe Road, Daya District",
至善美食廣場,24.2279939,120.5797108,4.0,73,"No. 200號, Section 7, Taiwan Boulevard, Shalu District",
聚亭軒茶飲美食館,24.2367444,120.5657978,4.2,256,"No. 8號, Lane 159, Zhongshan Road, Shalu District",
酸豆義式小館,24.3439494,120.643538,3.9,116,"No. 87, Lane 482, Dama Road, Waipu District",
Huang Jin Hakka Restaurant,24.347861,120.616952,4.0,140,"No. 359, Jingguo Road, Dajia District",
紀福美食料理店,24.258595,120.657034,4.2,20,"No. 1363號, Zhongshan Road, Shengang District",
東喜堂花園茶館 主食A+主餐B 飲料三選一 外帶一律75折 到店裡外帶免下車 外帶滿$2000 5公里內外送到家 電話：25314368,24.2174313,120.6825536,4.0,3518,"Tanzi District, 雅潭路三段東寶巷9號",
笛笛饌義式料理,24.252168,120.698021,4.4,413,"No. 130號, Dali Street, Shengang District",
咕咕香甕缸雞 豐原店 - 團體聚餐 家庭聚餐 甕缸雞推薦 合菜美食推薦 高CP值 精緻快炒 熱炒 尾牙春酒 喜宴,24.2582417,120.7075276,4.4,1473,"No. 68號, Section 8, Fengyuan Blvd, Shengang District",
Jing Yuan Huo Seafood Restaurant,24.2553326,120.7337809,3.9,251,"No. 411, Shuiyuan Road, Fengyuan District",
又見一炊煙,24.2085739,120.7860994,4.0,2699,"Xinshe District, 中興嶺街一段107號",
艾萊羅伊廚房 AileRoy Kitchen,24.2768678,120.5648374,4.3,440,"No. 183號, Wuquan Rd, Qingshui District",
mi,24.3381645,120.5917525,4.0,837,"No. 86, Zhongshan South Road, Da'an District",
傑理歐法小館,24.2299891,120.5663022,4.0,189,"No. 431, Section 2, Zhennan Road, Shalu District",
Zhenpin Yuan Seafood Restaurant,24.2582367,120.697629,4.0,109,"No. 2號, Lane 175, Dazhou Road, Shengang District",
Gusto Cafe,24.3931495,120.7214269,4.4,195,"Yuanli, 一鄰1之1號",
膳禾軒私房料理溯源餐廳,24.3103728,120.7179921,4.4,404,"Houli District, 成功路265巷11號",
巧匠堡庭園餐廳,24.2305377,120.7303952,4.2,188,"No. 160-1, Lane 271, Liancun Road, Fengyuan District",
Wei Xiang Taste Hakka Garden Restaurant,24.2841713,120.7677202,3.9,290,"No. 11之1, Shishan Lane, Shicheng St, Dongshi District",
滿春園餐廳蔬食‧咖啡‧庭園,24.274797,120.7486319,4.2,28,"No. 56號, Lane 200, Puzi Street, Fengyuan District",
二十七號廚房,24.8061022,120.9641544,4.1,118,"No. 27, Rende Street, North District",
名古屋料亭-中正店#宵夜聚餐首選#在地推薦日料#新竹美食#無菜單吃到飽#居酒屋推薦#新竹必吃名店#人氣美食推薦#日式料理推薦,24.805494,120.969869,4.3,2057,"East District, Lane 96, Zhongzheng Road, 4號1F",
Homie_Bistro 老鄉餐酒館-創意料理 餐酒館 異國料理 中式西式料理 深夜食堂 朋友公司聚餐聚會 露天餐酒館 餐廳包場 場地租借 尾牙春酒,24.8166149,121.0206933,4.1,62,"No. 226號, Chenggong 8th Road, Zhubei City",
TOSCANINI Italian Restaurant,24.8324069,121.0106008,4.1,1025,"Zhubei City, Wenxin Road, 355號",
金銀島主題餐廳 、新竹竹北美食餐廳、竹北喜宴餐廳、新竹餐廳推薦,24.8171901,121.0201541,3.8,520,"No. 118號, Zhuangjing South Road, Zhubei City",
Fu Ou Yi Shi Restaurant,24.7961236,121.0022191,4.2,1164,"East District, 金城二路38號",
LENINI 樂尼尼義式餐廳-新竹晶品城店,24.8021098,120.9704184,4.1,850,"East District, Linsen Road, 18號13樓",
回家趣複合式餐廳,24.8158066,121.0205053,4.4,392,"No. 19號, Chenggong 11th Street, Zhubei City",
食在巷弄,24.835256,121.009505,4.3,224,"No. 3, Lane 58, Fude Street, Zhubei City",
Moon of Wind City,24.8184441,121.0224097,4.0,1902,"No. 268, Section 1, Fuxing East Road, Zhubei City",
台元花園餐廳sabrosa,24.8412073,121.0199081,3.8,346,"No. 2號, Taiyuan 1st Street, Zhubei City",
Bistro302 原味料理餐廳,24.8103698,121.0364851,4.1,788,"Zhubei City, Section 1, Jiafeng 11th Rd, 30號2樓",
Yummy私房料理,24.8071925,120.9779874,4.0,563,"No. 70號, Lane 170, Section 2, Zhonghua Road, East District",
simple life,24.8315322,121.0082397,4.0,420,"No. 148號, Xianzheng 13th Road, Zhubei City",
莫內花園,24.8313746,121.0171082,4.4,155,"No. 139號, Wenxin Road, Zhubei City",
谷度饗泰雅部落原住民主題餐廳(外燴、風味餐、駐唱表演)推薦餐廳、特色餐廳、生日優惠、熱門餐廳、熱門景點、新竹 餐廳、竹北 餐廳,24.8191544,120.9827978,4.3,246,"No. 606-5號, Section 3, Gongdaowu Road, East District",
夏卡瓦咖啡餐廳,24.8099446,120.9782194,4.0,411,"1, No. 105號, Sanmin Road, East District",
Bingo賓果廚房,24.8224032,121.0290067,4.1,241,"No. 170號, Shengli 3rd Street, Zhubei City",
Grazie,24.8061547,120.9713131,4.2,1633,"No. 10號, Wenhua Street, East District",
米樂﹝義式料理﹞,24.8230016,120.9697374,4.6,1311,"No. 252號, Section 2, Tiedao Road, North District",
隆恩餐館,24.8082443,120.9754216,4.7,179,"No. 86號, Sanmin Road, East District",
PaDuola帕朵拉 義式餐廳,24.8184064,120.9708536,3.9,53,"North District, Nanya Street, 91-2號2樓",
春耕餐廳/新竹美食/Restaurants/新竹餐廳/竹北合菜/竹北美食/竹北餐廳,24.8302538,121.0269851,4.0,318,"No. 326號, Zhuangjing North Road, Zhubei City",
貳樓餐廳 Second Floor Cafe 新竹店,24.7876851,121.0174992,4.2,3644,"No. 212, Xinzhuang Street, East District",
Kanazawa Japanese,24.8067774,120.9735732,3.7,217,"No. 6號, Lane 2, Sanmin Road, East District",
民生阿典廚房,24.8169586,120.9569248,3.7,368,"No. 538號, Zhongzheng Road, North District",
新豐球場-國賓中餐廳,24.8789221,120.981069,3.9,101,"No. 104號, 坑子口, Xinfeng Township",
Jinhui Restaurant,24.8137257,120.9686541,3.9,1254,"No. 673號, Section 1, Jingguo Road, North District",
犀牛西式小館 RHINO Restaurant,24.8072222,120.9602778,4.5,567,"No. 151號, Minfu Street, North District",
Casamia義式餐廳,24.8178224,120.9724093,4.1,259,"No. 58號, Guanghua North Street, North District",
Ruban Bistro,24.8190189,121.0257279,4.6,202,"No. 160, Chenggong 2nd Street, Zhubei City",
Toscanini,24.782403,121.006042,4.1,2908,"No. 2-1號, Hsin Ann Rd, East District",
Qinghua Shui Yang Restaurant,24.7938858,120.9931792,4.1,163,"No. 101號, Section 2, Guangfu Road, East District",
流浪貓香草義式廚房,24.8325831,121.0100285,4.3,169,"No. 381號, Wenxin Road, Zhubei City",
彼刻義式餐酒館,24.8194834,121.0245175,4.3,1548,"No. 102號, Chenggong 2nd Street, Zhubei City",
A CUT Steakhouse,24.8064442,120.9781189,4.2,804,"East District, Section 2, Zhonghua Rd, 188號9樓",
慕門餐廳 Moment Restaurant-竹北必吃義式餐廳|特色義式料理|平價義大利麵|打卡餐廳|人氣美食|必吃美食|人氣餐廳|CP餐廳|平價餐廳,24.8251904,121.031999,4.2,134,"No. 235號, Shengli 11th Road, Zhubei City",
常嚐料理廚房,24.8179988,120.9721259,4.5,638,"North District, Guanghua Street, 102之3號300",
à Table,24.817502,121.018477,4.1,190,"No. 170, Chenggong 8th Road, Zhubei City",
米琪-帕尼尼簡餐咖啡輕食,24.8099298,120.9776433,4.3,84,"No. 290, Zhongyang Road, East District",
食譜自助百匯餐廳,24.807079,120.975231,4.3,662,"No. 69號, Minzu Road, East District",
Amigo Restaurant,24.8029481,120.9698196,3.0,6,"No. 11號, Datong Rd, East District",
